iter	Passed	Remaining
1296	87806	182991
1297	87871	182919
1298	87936	182845
1299	88000	182770
1300	88066	182698
1301	88129	182622
1302	88196	182551
1303	88260	182477
1304	88325	182404
1305	88389	182328
1306	88456	182258
1307	88520	182184
1308	88585	182110
1309	88650	182037
1310	88715	181964
1311	88779	181889
1312	88843	181815
1313	88910	181744
1314	88975	181672
1315	89042	181602
1316	89106	181527
1317	89172	181456
1318	89240	181391
1319	89307	181320
1320	89371	181246
1321	89437	181175
1322	89503	181103
1323	89568	181030
1324	89634	180960
1325	89698	180884
1326	89762	180809
1327	89828	180738
1328	89895	180671
1329	89961	180599
1330	90025	180524
1331	90092	180455
1332	90158	180384
1333	90224	180314
1334	90288	180237
1335	90351	180161
1336	90419	180095
1337	90487	180027
1338	90554	179958
1339	90617	179881
1340	90682	179810
1341	90746	179735
1342	90809	179658
1343	90876	179588
1344	90942	179518
1345	91009	179449
1346	91073	179374
1347	91137	179299
1348	91202	179228
1349	91265	179151
1350	91332	179082
1351	91396	179007
1352	91460	178932
1353	91525	178859
1354	91592	178790
1355	91656	178717
1356	91724	178650
1357	91790	178579
1358	91857	178509
1359	91921	178435
1360	91987	178364
1361	92054	178296
1362	92118	178222
1363	92183	178149
1364	92252	178084
1365	92316	178009
1366	92382	177938
1367	92447	177866
1368	92513	177795
1369	92581	177729
1370	92649	177662
1371	92713	177589
1372	92779	177518
1373	92846	177449
1374	92912	177378
1375	92977	177305
1376	93042	177233
1377	93112	177170
1378	93176	177097
1379	93241	177023
1380	93305	176950
1381	93370	176876
1382	93433	176800
1383	93499	176730
1384	93563	176655
1385	93626	176580
1386	93692	176509
1387	93757	176437
1388	93821	176362
1389	93886	176289
1390	93954	176224
1391	94021	176155
1392	94088	176086
1393	94151	176011
1394	94216	175938
1395	94283	175870
1396	94351	175803
1397	94416	175730
1398	94480	175656
1399	94546	175587
1400	94611	175514
1401	94675	175439
1402	94739	175366
1403	94805	175295
1404	94870	175223
1405	94936	175152
1406	95000	175078
1407	95067	175010
1408	95133	174939
1409	95196	174865
1410	95266	174801
1411	95330	174727
1412	95397	174659
1413	95462	174586
1414	95529	174518
1415	95592	174442
1416	95657	174370
1417	95722	174299
1418	95789	174229
1419	95855	174159
1420	95921	174089
1421	95988	174022
1422	96051	173946
1423	96120	173880
1424	96185	173809
1425	96252	173741
1426	96318	173670
1427	96385	173601
1428	96450	173529
1429	96514	173455
1430	96579	173384
1431	96643	173310
1432	96708	173238
1433	96774	173167
1434	96839	173096
1435	96906	173027
1436	96975	172963
1437	97045	172901
1438	97116	172838
1439	97183	172770
1440	97248	172699
1441	97313	172626
1442	97380	172559
1443	97446	172487
1444	97511	172416
1445	97577	172346
1446	97646	172281
1447	97713	172213
1448	97783	172149
1449	97852	172085
1450	97921	172020
1451	97991	171957
1452	98055	171884
1453	98120	171811
1454	98187	171743
1455	98254	171676
1456	98321	171607
1457	98391	171543
1458	98456	171471
1459	98519	171396
1460	98584	171325
1461	98648	171251
1462	98714	171181
1463	98779	171109
1464	98842	171034
1465	98913	170974
1466	98983	170909
1467	99049	170839
1468	99119	170777
1469	99186	170709
1470	99250	170634
1471	99318	170568
1472	99382	170494
1473	99447	170422
1474	99512	170352
1475	99576	170279
1476	99640	170205
1477	99706	170134
1478	99773	170067
1479	99838	169994
1480	99905	169926
1481	99969	169854
1482	100035	169783
1483	100101	169713
1484	100165	169641
1485	100231	169571
1486	100296	169498
1487	100361	169427
1488	100427	169358
1489	100495	169290
1490	100561	169220
1491	100626	169150
1492	100692	169080
1493	100757	169008
1494	100823	168938
1495	100888	168867
1496	100951	168792
1497	101017	168721
1498	101081	168649
1499	101146	168577
1500	101213	168508
1501	101277	168437
1502	101344	168368
1503	101412	168302
1504	101476	168228
1505	101542	168158
1506	101606	168085
1507	101671	168014
1508	101737	167943
1509	101801	167871
1510	101867	167801
1511	101930	167726
1512	101996	167657
1513	102062	167587
1514	102126	167513
1515	102193	167446
1516	102256	167371
1517	102323	167304
1518	102388	167232
1519	102455	167164
1520	102522	167095
1521	102586	167023
1522	102649	166949
1523	102715	166879
1524	102781	166809
1525	102845	166736
1526	102909	166664
1527	102977	166596
1528	103046	166531
1529	103114	166465
1530	103180	166395
1531	103244	166323
1532	103309	166252
1533	103376	166183
1534	103441	166113
1535	103508	166045
1536	103573	165972
1537	103640	165905
1538	103706	165836
1539	103772	165765
1540	103836	165693
1541	103904	165627
1542	103974	165564
1543	104043	165500
1544	104113	165435
1545	104179	165365
1546	104242	165292
1547	104310	165225
1548	104373	165151
1549	104442	165087
1550	104507	165015
1551	104576	164950
1552	104645	164885
1553	104709	164813
1554	104775	164742
1555	104840	164672
1556	104906	164602
1557	104969	164528
1558	105035	164459
1559	105101	164389
1560	105167	164320
1561	105233	164249
1562	105301	164183
1563	105367	164114
1564	105430	164041
1565	105495	163969
1566	105563	163903
1567	105630	163835
1568	105695	163764
1569	105762	163695
1570	105828	163625
1571	105898	163563
1572	105962	163491
1573	106029	163422
1574	106093	163349
1575	106159	163280
1576	106224	163210
1577	106289	163138
1578	106353	163067
1579	106419	162997
1580	106487	162930
1581	106554	162862
1582	106620	162792
1583	106687	162724
1584	106751	162653
1585	106817	162583
1586	106881	162511
1587	106946	162440
1588	107012	162370
1589	107077	162299
1590	107140	162225
1591	107204	162153
1592	107271	162085
1593	107336	162014
1594	107402	161944
1595	107466	161873
1596	107531	161802
1597	107596	161731
1598	107666	161668
1599	107730	161595
1600	107795	161524
1601	107860	161454
1602	107926	161385
1603	107993	161317
1604	108062	161252
1605	108127	161181
1606	108194	161113
1607	108260	161044
1608	108329	160979
1609	108393	160907
1610	108457	160834
1611	108521	160763
1612	108588	160694
1613	108652	160622
1614	108716	160550
1615	108781	160479
1616	108846	160408
1617	108909	160335
1618	108974	160264
1619	109039	160194
1620	109104	160123
1621	109170	160054
1622	109235	159983
1623	109303	159917
1624	109369	159847
1625	109435	159778
1626	109500	159707
1627	109565	159637
1628	109629	159565
1629	109696	159497
1630	109764	159430
1631	109828	159359
1632	109893	159288
1633	109960	159221
1634	110026	159150
1635	110090	159079
1636	110155	159009
1637	110220	158938
1638	110287	158870
1639	110353	158801
1640	110421	158735
1641	110486	158663
1642	110550	158592
1643	110617	158524
1644	110681	158452
1645	110745	158380
1646	110810	158310
1647	110879	158245
1648	110945	158176
1649	111013	158110
1650	111080	158042
1651	111146	157973
1652	111216	157909
1653	111281	157839
1654	111347	157769
1655	111412	157699
1656	111480	157633
1657	111546	157565
1658	111613	157497
1659	111680	157429
1660	111749	157363
